# Term register export from the tracker sheet. GENERATED by export-tracker.py — do not edit.
# term	published	status	note	flag
Mixture of Experts	yes	established	PUBLISHED Sep 8 2026. Founding paper 1991 (SRC-305), scaled by Shazeer et al. (SRC-306) and Switch Transformers (SRC-307). The literacy payload is that PARAMETER COUNT STOPPED HAVING ONE MEANING — total and active can differ by an order of magnitude, so any comparison by size is ambiguous unless it says which. ⚠️ Sparsity buys compute, never memory (all experts must be resident), which is why MoE suits hosted serving and not local or edge. ⚠️ "Experts" are not interpretable specialists; routing is learned.	X
Harness Paradigm	yes	emerging	The term "agent harness" is established in practitioner literature (Böckeler; Osmani); the paradigm framing itself is not yet settled across independent sources.	X
Context Engineering	yes	established		X
Prompt Engineering	yes	established		X
Domain	yes	established		X
Knowledge Base	yes	established		X
Memory (AI Systems)	yes	established		X
Observability (AI Systems)	yes	established		X
Retrieval-Augmented Generation (RAG)	yes	established		X
Determinism vs Probabilism	yes	established		X
System Prompt	yes	established		X
Tool Use	yes	established		X
Multi-Agent Systems	yes	established		X
Red Teaming	yes	established		X
Small Language Models (SLMs)	yes	established		X
Deception (AI Systems)	yes	established		X
Confidence vs Accuracy	yes	established		X
Concealing Uncertainty	yes	established		X
Power Seeking	yes	established		X
Agency (AI Systems)	yes	established		X
Alignment (AI Systems)	yes	established		X
Context (AI Systems)	yes	established		X
Local LLMs	yes	established		X
Systemic Risk (AI)	yes	established		X
Data Provenance / Lineage	yes	established		X
Human–LLM Communication Skills	yes	emerging	Component competencies are well grounded, but there is no established assessment for the competency as a whole.	X
Frontier AI (Frontier Model)	yes	established		X
Content Provenance & Watermarking (C2PA)	yes	established		X
Model Card / System Card	yes	established		X
Shadow AI	yes	established		X
Curse of Knowledge (AI Context)	yes	established		X
Training Data	yes	established		X
Bluewashing	yes	established		X
Fundamental Rights Impact Assessment (FRIA)	yes	established		X
Multimodal AI	yes	established		X
Copyright & AI Output	yes	established		X
Synthetic Media (Deepfakes)	yes	established		X
AI Disclosure (Attribution)	yes	established		X
Value Realization (AI)	yes	emerging	Standard business term; the AI-specific application rests on evidence from prior general-purpose technologies rather than from AI.	X
Scalable Oversight	yes	established		X
Continuous Feedback & Improvement	yes	established		X
Tacit Knowledge	yes	established		X
Moral Crumple Zone	yes	established		X
Performativity (LLMs)	yes	emerging	Performativity is established in philosophy (Austin) and in ML as 'performative prediction' (Perdomo et al.); its application to LLM effects on human language is recent and still settling.	X
Recurrent Depth	yes	emerging	Spelling corrected from "Recurring Depth", which no source uses. Coined by Geiping et al. (NeurIPS 2025); independently used by a separate group (Recurrent-Depth VLA, 2026). Emerging rather than established on naming — recurrent depth / looped transformer / depth-recurrent compete for one mechanism. ⚠️ Do not state as fact that OpenAI's Astra uses it: press reporting, unconfirmed by OpenAI. Fills a real gap — reasoning moves into latent states with no trace to read.	X
Data Labeling	yes	established	PUBLISHED Sep 8 2026. Empirical core from Sambasivan et al. (SRC-308, CHI 2021): DATA CASCADES affecting 92% of the AI practitioners interviewed, traced to a culture that rewards model work over data work. ⚠️ 92% describes the studied population, not an industry rate. Two governance hooks the corpus had nowhere: inter-annotator agreement is the CEILING on what any evaluation can show and is rarely reported, and labeling labor conditions appear in no model documentation.	X
Data Poisoning	yes	established	PUBLISHED Sep 8 2026 — the strongest gap in the security cluster, as this row predicted, with zero prior corpus mentions. Integrity attack on training rather than confidentiality attack on inference, so it is the mirror of Privacy Attacks and every input-side control looks the wrong way. Carlini et al. (SRC-309) demonstrate web-scale poisoning as immediately practical against ten popular datasets. ⚠️ A backdoor survives evaluation BY CONSTRUCTION, so absence of evidence is unusually weak here — the entry gives no rate.	X
Algorithmic Impact Assessment	yes	established	PUBLISHED Sep 8 2026. Canada's Treasury Board AIA (SRC-310) is the reference implementation: mandatory, 65 risk + 41 mitigation questions, open-licensed, and COMPLETED ASSESSMENTS ARE PUBLICLY SEARCHABLE — rare among governance instruments and the main counterweight to self-assessment. Distinct from FRIA, which is EU AI Act Art. 27 and binds only certain deployers; the generic aliases (impact assessment, pre-deployment assessment) were moved here from FRIA because this entry defines the generic instrument.	X
Conformity Assessment (AI Systems)	yes	established	PUBLISHED Sep 8 2026 — RENAMED from "Notified Body", which resolves this row's own caution that folding into Compliance was the alternative. Reading Article 43 (SRC-312) changed the verdict: the entry earns its place on a fact most summaries omit — for Annex III high-risk systems the provider MAY SELF-ASSESS under internal control, with notified-body involvement mandatory only where harmonised standards are missing or unapplied. So HIGH-RISK DOES NOT MEAN EXTERNALLY AUDITED, and a CE mark on AI is usually the provider's own declaration. The process, not the institution, was the right term.	X
Acceptable Use Policy	yes	established	PUBLISHED Sep 8 2026, judged against the scope exclusion as this row required. It clears it on one AI-specific fact: TWO policies always apply and you wrote only one — the provider's usage policy binds your deployment and is revised unilaterally, so a permitted use can become prohibited with no change on your side and no signal in your monitoring. ⚠️ The entry is deliberately light on evidence about EFFECT: no source here shows any policy formulation changes behavior, and it says so.	X
Persistent Synthesis	yes	emerging	Rests on a widely validated practitioner insight; the extended framework carries known specification gaps.	X
Context Window	yes	established		X
Orchestration (AI Systems)	yes	established		X
Scalability (AI Systems)	yes	established		X
Fine-tuning	yes	established		X
RLHF (Reinforcement Learning from Human Feedback)	yes	established		X
Cognitive Offloading & Deskilling	yes	established		X
Model Version & Update	yes	established		X
Tokenization	yes	established		X
Pre-training	yes	established		X
Embeddings	yes	established		X
Knowledge Graphs	yes	established		X
LLM-as-Judge	yes	established		X
Recursive Self-Improvement	yes	established		X
Data Leakage (Model Evaluation)	yes	established		X
Sandboxing	yes	established		X
Reinforcement Learning (RL)	yes	established		X
AI Benchmarking	yes	established		X
Synthetic Data	yes	established		X
NLP	yes	established		X
Agent Interoperability (A2A)	yes	established		X
Mechanistic Interpretability	yes	established		X
Edge AI	yes	established		X
Zero-shot / Few-shot Learning	yes	established		X
Transformers	yes	established		X
Agentic Design Patterns	yes	emerging	RENAMED from "Agentic Design" and published Sep 7 2026 as `emerging`. This row's caution was HALF right: "agentic design" is not a settled discipline, but "agentic design PATTERNS" is real vocabulary with two independent anchor catalogs — Ng's four (The Batch, Mar 2024) and Anthropic's workflow set. They do not match, and no canonical list exists, which is exactly why it ships emerging rather than established. Check 4: Orchestration holds the workflow-versus-agentic distinction but no pattern catalog, so this is a real gap. ⚠️ The oversight-profile table is the wiki's own framing, not a finding — no source organizes patterns by where refusal can occur.	X
Metaprompting	yes	emerging	EMERGING, and the instability is in the term rather than the practice — published Sep 7 2026. Research found THREE competing senses in active use: (1) using a model to generate or refine a prompt, the practitioner-dominant sense behind vendor prompt-improver features; (2) structural scaffolding — supplying the shape of a solution rather than examples of one (Zhang, Yuan & Yao, arXiv 2311.11482, SRC-281), the only sense with a clear published definition; (3) self-critique loops, the weakest attachment to the name and better known as self-refinement. The entry names all three rather than picking one. ⚠️ This row's earlier essence described sense 3 only, as its own caution predicted; rewritten against the entry. Narrow this entry when the field consolidates, most likely on sense 1.	X
Environmental Cost of AI	yes	established	ESTABLISHED — published Sep 7 2026. Clears all four checks on independent use across intergovernmental, academic and press sources. ⚠️ SOURCING CAUTION, which is this entry's main hazard: published figures vary by large factors depending on boundary choices (power generation included or not, embodied hardware counted or not, training amortized or not), so numbers from different sources are frequently not comparable. Electricity figures from the IEA (SRC-277); water from Li et al. (SRC-278), which are ESTIMATES and must be cited as such. The entry's most confident claim is the structural one — that providers do not publish per-request energy, so an organization cannot compute its own footprint while reporting expectations rise.	X
Temperature (LLMs)	yes	established		X
Inference	yes	established		X
Context Compaction	yes	established	RENAMED from "Compact" and published Sep 7 2026, resolving the vendor status. Compaction is documented as a first-class concept by Microsoft's Agent Framework and studied in named 2026 research, so the term is in independent use — it was only Anthropic's product vocabulary as the bare word "Compact". Published under the neutral name, citing implementations rather than any one product.	X
Agent Hooks	yes	established	RENAMED from "Hook" and published Sep 7 2026, resolving the vendor status. Every major agent runtime has independently converged on the pattern — Claude Code, OpenAI Codex CLI, LangChain/LangGraph, Google ADK, AutoGen, Semantic Kernel — so it is convergent, not proprietary. The entry's contribution is the distinction most documentation buries: can the hook BLOCK, or only observe?	X
Agent Skills	yes	established	RENAMED from "Skill" and published Sep 7 2026, resolving the vendor status — the bare word collided with Alexa Skills and with ordinary English. Cleared the gate ON USAGE rather than on governance: originated at Anthropic, released as an open standard, now implemented by roughly 45 clients including direct competitors (OpenAI Codex, Gemini CLI, GitHub Copilot, VS Code, Mistral, Cursor, Databricks, Snowflake). A different establishment route from A2A, which cleared on foundation governance with thin usage.	X
Latency (AI Systems)	yes	established	ESTABLISHED — published Sep 7 2026. A standard performance term across computing, with the AI-specific reading being that generation time scales with output length. The only DOUBLY-PROMISED term in the corpus: both Edge AI and Scalability (AI Systems) pointed at it before it existed. Human thresholds from Nielsen (SRC-279, attributing Miller 1968 and Card et al. 1991); the percentiles-over-means argument from Dean & Barroso, The Tail at Scale (SRC-280). Central governance hook: SPEED COMPETES WITH CHECKS — under latency pressure the first thing removed is always a check whose absence nobody sees.	X
Overfitting	yes	established	ESTABLISHED — published Sep 8 2026, and the entry covers BOTH ends of the axis: UNDERFITTING is folded here as an alias, since Geman et al. (SRC-282) define the two as one bias/variance trade-off rather than separate faults. ⚠️ The entry deliberately gives no rule for when a large model will memorize, because double descent (SRC-283, SRC-284) breaks the size-implies-overfitting intuition in both directions. At LLM scale the live risk is memorization surfacing as privacy and copyright exposure (SRC-150), not a poor score.	X
Prompt Chaining	yes	established	ESTABLISHED — published Sep 8 2026. Not covered by Orchestration, which defines the control layer but never the technique; Agentic Design Patterns only names it in a list. Founding definition and the transparency finding from Wu, Terry & Cai (SRC-290, CHI 2022): people edited intermediate results rather than accepting one opaque answer. ⚠️ Distinct from CHAIN-OF-THOUGHT — separate calls with real artifacts, not generated reasoning text. Governance hook: decomposition adds failure points and no checks.	X
Catastrophic Forgetting	yes	established	ESTABLISHED — published Sep 8 2026. Named since McCloskey & Cohen 1989 (SRC-286); mechanism from French's stability-plasticity framing (SRC-287); mitigation and its cost from Kirkpatrick et al. (SRC-288). ⚠️ Term normalized to title case here so it matches the entry title — the export gate compares exact strings. Governance hook: a fine-tune is tested for what it was meant to add, never for what it may have removed, and refusals are learned behavior that can be forgotten.	X
AI Gateway	yes	established	RENAMED from "LLM Mesh" and published Sep 7 2026, resolving the vendor status exactly as this row's earlier note prescribed. The concept is implemented independently of any model vendor (LiteLLM, Kong, Envoy, APISIX, Portkey, Bifrost, Cloudflare, OpenRouter), so it publishes under the neutral name with Dataiku's LLM Mesh cited as one vendor's term for it. ⚠️ The old essence described multi-model collaboration — a different concept already held by Multi-Agent Systems — and has been rewritten, as the earlier note required.	X
False Positives and False Negatives	yes	established	PUBLISHED Sep 8 2026 as a CONSOLIDATED entry covering both error types, with False Negative folded into it. The two are one axis: a threshold sets the exchange rate, and no setting reduces both. Carries the base-rate arithmetic (at low prevalence most flags are false even from a system working as specified) and Chouldechova's impossibility result (SRC-300). Governance hook: the threshold is a policy decision usually made by people who bear neither error.	X
Anonymization and Pseudonymization	yes	established	PUBLISHED Sep 8 2026 as a CONSOLIDATED entry, with Pseudonymization folded in — the pair only makes sense together, since the entry's point is that the two are confused and mean opposite things in law. Pseudonymized data remains personal data (GDPR Recital 26, SRC-299); anonymity is tested against all means reasonably likely to be used, including future technology, so it can lapse without the data changing. ⚠️ The AI-specific claim — anonymizing a corpus does not anonymize the model — is not yet settled in regulatory guidance.	X
Privacy Attacks (AI Models)	yes	established	PUBLISHED Sep 8 2026 as a CONSOLIDATED entry covering membership inference, model inversion and model extraction. The umbrella is not invented: NIST AI 100-2 (SRC-291) uses PRIVACY ATTACKS as a top-level class defined as inferring information about the training data OR THE ML MODEL — that clause resolves the earlier doubt about extraction, whose victim is the model owner. Governance hook: query access is the attack surface, so conventional controls do not apply and nothing looks unauthorized.	X
Automated Decision-Making	yes	established	PUBLISHED Sep 8 2026 as a CONSOLIDATED entry with Redress folded in — GDPR Article 22's three safeguards (human intervention, expressing a view, contesting the decision) ARE what redress concretely means here, so a separate entry would have restated them. Also carries EU AI Act Article 86, verified verbatim (SRC-298): owed by the DEPLOYER, covering the system's role and the decision's main elements, not the model's internals. ⚠️ Threshold questions (what is SOLELY automated) are unsettled — the entry states the tests, not outcomes.	X
Model Distillation	yes	established	PUBLISHED v1.32, Sep 9 2026. ⚠ TERM RENAMED from "Model distillation" to match the entry H1 exactly — a case mismatch silently hides every other field comparison for the row during an audit. Score raised 2 → 3 on drafting: the governance content is stronger than the compression framing suggested. THE ENTRY'S SHARPEST POINT: distillation and model extraction are the SAME TECHNIQUE, and only permission distinguishes them — so "where did this model's capability come from" cannot be answered by inspecting the model. Second point: Angell et al. show benign-only distillation CAUSALLY increases jailbreak transfer, so a student inherits the teacher's attack surface without necessarily inheriting its safety training.	X
Checkpointing	yes	established	PUBLISHED v1.32, Sep 9 2026. Score raised 2 → 3. Essence SHARPENED on drafting: the seed said "turning long-running AI processes from all-or-nothing runs into recoverable ones" and stopped there; the published essence carries the limit, which is the governance content. THE ENTRY'S CENTRAL POINT: rollback restores the agent, never the world — a refund issued or an email sent is not undone, so a resumed run begins with the agent's beliefs and reality out of step and every side-effecting call a candidate for duplication. SECOND POINT, from PickleBall (CCS 2025): a checkpoint file is EXECUTABLE, and 44.9% of popular Hugging Face models still use the pickle format. THIRD: a checkpoint is not an audit trail — state, not the sequence of decisions.	X
Inter-Rater Reliability	yes	established	PUBLISHED v1.32, Sep 9 2026, scored 4. The gap this row predicted was real and the entry delivers it: rater agreement is the CEILING on evaluation precision and is almost never printed beside the accuracy figure it caps. Two things the drafting added beyond the seed note: (1) the famous Landis & Koch bands ("substantial", "almost perfect") are an ARBITRARY convention the authors scoped to one table in one paper, now cited as thresholds by 75,000+ papers; (2) the Feinstein-Cicchetti PARADOX — with one category dominant, raters can agree on nearly everything and still score near zero, which is precisely the rare-class regime most AI safety evaluation lives in. Extends to LLM-as-Judge: a judge model's self-agreement across runs is measurable and unreported.	X
Differential Privacy	yes	established	PUBLISHED v1.32, Sep 9 2026, scored 5 — the strongest of this batch, and exactly the kind of term this wiki exists to pin down, as the row predicted. CLEARED CHECK 1 ON THE GOVERNANCE ROUTE, which is unusual for a technical term: NIST published a whole Special Publication (SP 800-226, final March 2025) on how to EVALUATE a differential-privacy claim. THE PIN: it is a property of the ALGORITHM, not a label on a dataset — which is why it survives an attacker's outside information where k-anonymity does not. THE GOVERNANCE DEMAND: epsilon, the unit of privacy (event or user), and the composition accounting. A claim without all three is unsubstantiated, and epsilon is the one parameter no expert can choose for you.	X
Federated Learning	yes	established	PUBLISHED v1.32, Sep 9 2026, scored 4. The row's framing — "the data stays put, the model updates still leak" — was correct and is the entry's central correction, evidenced by TWO INDEPENDENT groups recovering training inputs from shared gradients (Zhu et al. NeurIPS 2019; Geiping et al. NeurIPS 2020). ⭐ THE POINT THE ROW DID NOT ANTICIPATE, and the best governance content: federated learning TRADES AUDITABILITY FOR LOCALITY. You cannot inspect data you never received, so data quality, bias, provenance and poisoning all become structurally unobservable to whoever owns the model — the architecture that keeps regulators' concerns off your servers keeps your own assurance off them too.	X
Dual Use	yes	established	PUBLISHED v1.34, Sep 9 2026, scored 4. The row's framing held exactly: risk is not a property of the model alone. ⭐ THE ENTRY'S ORGANISING MOVE is the contrast with Failure Modes — a failure mode is the system doing something wrong and fixable; dual use is the system working EXACTLY AS DESIGNED for someone else's purpose, which is why making the model better makes it better at both uses. Anchored on Urbina et al. (Nature Machine Intelligence 2022), with figures read from the FULL TEXT because the abstract does not contain them: forty thousand molecules in under six hours on an in-house server, including VX and other known warfare agents rediscovered unprompted. ⚠ The force is how TRIVIAL the inversion was — one objective flipped — not how sophisticated. The entry deliberately states no probability of misuse: there is no defensible base rate.	X
Overrefusal	yes	emerging	PUBLISHED v1.34, Sep 9 2026, scored 4, filed `emerging` on the NAMING as the row proposed — overrefusal / over-refusal / false refusal / exaggerated safety all circulate, and the defining benchmark uses a different phrase again. The evidence is not emerging at all. ⭐ THE GOVERNANCE POINT the row predicted, sharpened: the two errors are not equally VISIBLE. A harmful completion gets screenshotted, logged and counted; a wrongful refusal produces NO ARTIFACT — the user rephrases or gives up. So safety reports quote harm rates and almost never refusal rates, which is half a measurement presented as a whole one. ⭐ SECOND POINT, from the XSTest construction: refusals key on SURFACE FORM, so costs concentrate on people whose legitimate vocabulary resembles the blocked vocabulary — clinicians, security researchers, harm-reduction workers. ⚠ The entry deliberately quotes NO refusal rate; published rates die with the next safety update.	X
Quantization	yes	established	PUBLISHED v1.34, Sep 9 2026, score raised 3 → 4. The row's predicted governance point — a quantized model is a DIFFERENT model with its own evaluation status — is the entry's spine and it turned out to have a mechanism behind it. ⭐ FROM Dettmers et al.: quantization error is CONCENTRATED in a small set of outlier features, not spread evenly. That is why aggregate benchmarks can hold steady while specific behaviours move a lot — the failure hides in the average by construction. ⭐ FROM Kharinaev et al. (66 quantized variants, six methods, four safety benchmarks): both PTQ and QAT CAN degrade safety, method-dependently, and a model that has lost safety training still sounds fluent. ⚠ DISTRIBUTIONAL CLAIM STATED AS AN EXPECTATION TO TEST, not a measured universal: weakest capabilities break first, so minority languages and specialist domains suffer most.	X
Third-Party Audit	yes	established	PUBLISHED v1.34, Sep 9 2026, scored 5. The row named the access problem and it became the whole entry. ⭐ THE CORRECTION: the important word is NOT "independent". Independence stops the auditor having a reason to lie; it gives them nothing to look at. Casper et al.'s three-level taxonomy (black-box / white-box / OUTSIDE-the-box — methodology, data, internal evaluation findings) is the useful frame, and their operative conclusion is that AN AUDIT REPORT WITHOUT AN ACCESS STATEMENT IS NOT ASSESSABLE. ⭐ THE REGULATORY TRAP, and it pairs with Conformity Assessment: high-risk under the AI Act does NOT imply externally audited — internal control is available for most Annex III systems, so a CE mark is usually the provider's own declaration. ⭐ THIRD: the auditor is normally paid by the audited, who often also picks the scope — the conditions that produced audit failures elsewhere, without the remedies those industries later built.	X
Whistleblowing	yes	established	PUBLISHED v1.34, Sep 9 2026, scored 5 — the strongest of this batch. The row's judgement was right and the legal reading made it sharper. ⭐ THE FINDING: EU AI Act Article 87 is ONE SENTENCE that creates no regime at all — it applies Directive (EU) 2019/1937, read verbatim from EUR-Lex. THE BREVITY IS THE POINT: the Act borrows a regime and inherits its scope, and that Directive protects reporting BREACHES OF UNION LAW. So the protection covers reporting an infringement of the Regulation, NOT reporting a danger the Regulation does not make illegal. ⭐ INDEPENDENT CORROBORATION FROM INSIDE: the Right to Warn letter states the identical gap in one line — ordinary protections focus on illegal activity while many of the risks concerned are not yet regulated. ⭐ THE PRACTICE RECOMMENDATION FOLLOWS DIRECTLY AND NEEDS NO LEGISLATION: scope the internal policy to RISK rather than to illegality.	X
Generated Variables	yes	emerging	PUBLISHED v1.33, Sep 9 2026. The row's own judgement held: filed `emerging` because the LLM-era naming is unsettled (surrogate labels / generated regressors / generated variables all appear), while the CONCEPT clears on the established econometrics anchor. ⭐ THE NUMBER THE ENTRY IS BUILT ON, from Egami et al. (NeurIPS 2023): direct use of model-generated labels in downstream analysis produces SUBSTANTIAL BIAS AND INVALID CONFIDENCE INTERVALS EVEN AT 80–90% SURROGATE ACCURACY — which is exactly the range where a practitioner checks a sample, sees it looks fine, and proceeds. The reassuring accuracy is inside the failure region. Resolved the row's open question (own entry vs enrichment to Data Quality) in favour of its OWN ENTRY: the four axes it named needed more room than an enrichment allows, and the entry's reach turned out to be wider than social science — ops metrics, LLM-as-Judge scores, and training pipelines are all the same defect. ⚠ A DOI FOR THE OXLEY & McALEER SURVEY WRITTEN FROM RECALL WAS WRONG BY ONE DIGIT and resolved to an unrelated business-cycle paper; caught by Crossref before it entered the entry.	X
Structured Output	yes	established	PUBLISHED v1.33, Sep 9 2026 — and it has UNBLOCKED Outstanding rows 16 and 114, which had no entry to enrich. ✅ CHECK 4 RUN AS THE ROW DEMANDED, and there is plenty left over: Tool Use covers function calling, Guardrails covers post-hoc output validation, and neither covers the general case — constrained decoding as a GENERATION-TIME guarantee, where schema-breaking tokens are never sampled at all. The entry states the relation explicitly: function calling is a SPECIAL CASE of structured output, not the reverse. ⭐ THE GOVERNANCE POINT: schema conformance is not correctness. Structure eliminates the parse errors — the VISIBLE class — and leaves the invisible ones untouched, so a well-typed hallucination arrives looking like a database row. Plus the cost nobody measures: Tam et al. (EMNLP 2024) find format restriction significantly degrades REASONING, and stricter formats degrade more. ✅ The row's warning was obeyed — the 0%-to-100% figure was excluded, and the entry says why in its Confidence section.	X
Constitutional AI	no	covered	COVERED by RLHF — resolved Sep 8 2026, and the vendor tier is empty again. The research the earlier note demanded was done and the answer is clean: the CAI paper NAMES ITS OWN METHOD ("we refer to the method as 'Constitutional AI'"), while an independent group at Google describes RL from AI Feedback as "introduced in Bai et al." and treats RLAIF as the general method — a vendor-neutral name already in independent use. RLHF's technical definition explains the family and now also explains what the constitutional variant adds: a WRITTEN list of principles makes the values readable and arguable, which is a transparency property plain RLHF lacks. Folded by alias rather than given a thin entry.	N/A
Agent Memory	no	covered	COVERED by Memory (AI Systems) — decided Sep 7 2026 under admission check 4. A real established term, but that entry already is this one: it uses the in-trial / cross-trial distinction, covers externalized file-system state and agent memory-loss failure, and cites the agent-memory survey (SRC-137) as its source. A separate entry would be a near-duplicate. Resolved by alias rather than a split, so the term stays findable: agent memory, cross-session memory and what does the agent remember all resolve there. The register derives the pointer from that alias, so retargeting the alias moves the pointer.	N/A
APIs (Application Programming Interfaces)	no	covered	COVERED by Tool Use — decided Sep 7 2026. Also caught by CONTRIBUTING's scope exclusion: terms well-defined elsewhere that add no distinctive governance, literacy or design insight. APIs are general software vocabulary, exhaustively documented; the two AI-specific senses are already held — an AI calling out to an API is Tool Use (which already carried the alias "API calls from AI"), and calling a model provider's API is AI Gateway plus Inference. An entry would restate a textbook definition the corpus already covers in AI-specific form. Folded by alias.	N/A
Context Framing	no	covered	COVERED by Context Engineering — decided Sep 7 2026, confirming this row's own caution. FAILS CHECK 2: filtering for independent use leaves a single LinkedIn post using "context framing" as a term, with an idiosyncratic definition unlike this row's essence; the field consolidated on CONTEXT ENGINEERING (Karpathy, June 2025) and the literature uses that. The concept — how presentation and structure shape behavior — is held between Context Engineering (the information environment) and Prompt Engineering (the form of instructions), with position effects in Context Window. ⚠️ Prompt Engineering carried a Related-concepts promise to this term; removed, since that entry already links Context Engineering with the same distinction one line above.	N/A
Instantiation (AI Systems)	no	covered	COVERED by Context (AI Systems) — decided Sep 7 2026, confirming the caution this row already carried. That entry states it directly: context is assembled fresh for every response, each generation starts from whatever was assembled for it, and apparent memory is context reconstructed and re-sent. That is this term's seed essence. A separate entry would restate it. Folded by alias, so the term stays findable.	N/A
Flow Engineering	no	covered	COVERED by Orchestration (AI Systems) — decided Sep 7 2026. FAILS CHECK 2 as this row instructed: filtering the originator's domains leaves only the AlphaCodium paper itself, its repo, and blog write-ups of it; no independent group uses the term. The concept is thriving in 2026 under agentic workflows, and Orchestration already carries it — workflow, pipeline and chaining steps are its aliases, and it has the workflow-versus-agentic distinction. Folded by alias.	N/A
Agentic Pattern	no	covered	COVERED by Agentic Design Patterns — decided Sep 7 2026, confirming this row's own caution that the two were likely redundant. That entry's technical definition literally defines this term, and it already carried "agentic patterns" as an alias; the exact singular form was added so it resolves. No separate entry: the reasons for filing the parent `emerging` — Ng's four-pattern catalog and Anthropic's do not match, and no canonical list exists — apply to this row unchanged. Folded by alias, so the term stays findable.	N/A
LangChain	no	declined	DECLINED Sep 6 2026 by the author. A named open-source product, not a concept — CONTRIBUTING already excludes product documentation. Unlike the vendor rows there is nothing to rename: chaining model calls, tools and memory is already covered by Orchestration (AI Systems). Row kept deliberately, so the rejection stays visible rather than silent.	N/A
Underfitting	no	covered	COVERED by Overfitting — decided Sep 8 2026. Not redundancy but structure: Geman, Bienenstock & Doursat (SRC-282) define overfitting and underfitting as the two ends of ONE bias/variance axis, and the Overfitting entry's technical definition names and explains underfitting in those terms. Splitting them would mean two entries describing one dial. Underfitting is also the easy case — it fails visibly everywhere — which is why the axis is named for the dangerous end. Folded by alias.	N/A
Direct Preference Optimization	no	covered	COVERED by RLHF — decided Sep 8 2026. That entry's technical definition already explains DPO in mechanical terms (a similar result without a separate reward model) and states that the governance question — whose preferences — is identical across RLHF, DPO and RLAIF, which it treats as one family. It also revisits DPO in its confidence section. This clears the alias test: the target DEFINES the term rather than merely mentioning it. The full term was added to RLHF's aliases so it resolves.	N/A
